maxInf; numberOfFirstColumns; columnsPerIteration; infCut; time; loadTime; populateTime; firstColumnsTime; iteration; solvingTime; solutionValue; averageInversedWeights; minInversedWeight; maxInversedWeight; averageTreeSize; minTreeSize; maxTreeSize; percentage; numberOfPeople;
10; 800; 10; 0.1; 269031; 69041; 23682; 109698; 4; 5352; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 800; 10; 0.1; 282082; 69041; 23682; 109698; 5; 5327; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 800; 10; 0.1; 288287; 69041; 23682; 109698; 6; 5319; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 1600; 10; 0.1; 253456; 68722; 26099; 140726; 1; 2465; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 1600; 10; 0.1; 271488; 68722; 26099; 140726; 2; 7036; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 1600; 10; 0.1; 286411; 68722; 26099; 140726; 3; 5142; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 1600; 10; 0.1; 299039; 68722; 26099; 140726; 4; 5333; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 1600; 10; 0.1; 312012; 68722; 26099; 140726; 5; 5372; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 1600; 10; 0.1; 318289; 68722; 26099; 140726; 6; 5373; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
30; 100; 10; 0.1; 203069; 65018; 30009; 86295; 1; 3769; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 100; 10; 0.1; 219259; 65018; 30009; 86295; 2; 5123; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 100; 10; 0.1; 234216; 65018; 30009; 86295; 3; 4647; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 100; 10; 0.1; 246906; 65018; 30009; 86295; 4; 4833; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 100; 10; 0.1; 259837; 65018; 30009; 86295; 5; 4898; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 100; 10; 0.1; 265902; 65018; 30009; 86295; 6; 4616; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 200; 10; 0.1; 211520; 66731; 33573; 91333; 1; 2062; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 200; 10; 0.1; 232501; 66731; 33573; 91333; 2; 7965; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 200; 10; 0.1; 247540; 66731; 33573; 91333; 3; 4769; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 200; 10; 0.1; 259622; 66731; 33573; 91333; 4; 4653; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 200; 10; 0.1; 272553; 66731; 33573; 91333; 5; 4739; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 200; 10; 0.1; 278812; 66731; 33573; 91333; 6; 4811; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 400; 10; 0.1; 224876; 66813; 37180; 101371; 1; 2143; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 400; 10; 0.1; 242438; 66813; 37180; 101371; 2; 6201; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 400; 10; 0.1; 257430; 66813; 37180; 101371; 3; 4672; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 400; 10; 0.1; 269523; 66813; 37180; 101371; 4; 4723; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 400; 10; 0.1; 282358; 66813; 37180; 101371; 5; 4703; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 400; 10; 0.1; 288472; 66813; 37180; 101371; 6; 4597; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 800; 10; 0.1; 248960; 65236; 43523; 120060; 1; 2717; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 800; 10; 0.1; 266279; 65236; 43523; 120060; 2; 6160; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 800; 10; 0.1; 282576; 65236; 43523; 120060; 3; 5534; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 800; 10; 0.1; 294946; 65236; 43523; 120060; 4; 5053; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 800; 10; 0.1; 307942; 65236; 43523; 120060; 5; 4932; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 800; 10; 0.1; 314381; 65236; 43523; 120060; 6; 5036; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 1600; 10; 0.1; 282390; 66086; 44309; 152054; 1; 3435; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 1600; 10; 0.1; 302347; 66086; 44309; 152054; 2; 8194; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 1600; 10; 0.1; 318225; 66086; 44309; 152054; 3; 5433; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 1600; 10; 0.1; 331070; 66086; 44309; 152054; 4; 5412; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 1600; 10; 0.1; 344439; 66086; 44309; 152054; 5; 5316; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
30; 1600; 10; 0.1; 351148; 66086; 44309; 152054; 6; 5322; 2543.6; 75.6338; 59.9659; 130.727; 1307; 1007; 2160; 0.856012; 8477; 
50; 100; 10; 0.1; 249157; 65925; 58675; 103278; 1; 2375; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 100; 10; 0.1; 282767; 65925; 58675; 103278; 2; 21746; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 100; 10; 0.1; 299762; 65925; 58675; 103278; 3; 6323; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 100; 10; 0.1; 313084; 65925; 58675; 103278; 4; 5618; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
