model; maxInf/percentage; initialC; infCut; tTotal(s); tPopulate(s); tInitialC(s); tSolver(s); solutionValue; averageSIW; minSIW; maxSIW; averageTreeSize; minTreeSize; maxTreeSize; reachedPercentage; numberOfPeople;;
1 ; 2; 2; 0.5; 69; 0; 3; 35; 5.165; 1.5; 1.17; 1.83; 6; 5; 7; 62.5; 5; 
2 ;2; 1; 0.5; 101; 0; 4; 71; 7; 1.83; 1.83; 1.83; 7; 7; 7; 87.5; 7; 
3 ; 90; 2; 0.5; 101; 0; 5; 48; 2; 1.5; 1.17; 1.83; 6; 5; 7; 100; 8; 
1 ; 2; 2; 0.5; 6622; 0; 6061; 249; 2; 1.5; 1.17; 1.83; 5; 4; 6; 100; 2; 
1 ; 2; 2; 0.5; 246; 0; 10; 190; 5.165; 1.5; 1.17; 1.83; 5; 4; 6; 62.5; 5; 
2 ;2; 1; 0.5; 326; 0; 6; 277; 7; 1.83; 1.83; 1.83; 6; 6; 6; 100; 7; 
3 ; 90; 2; 0.5; 107; 0; 11; 43; 2; 1.5; 1.17; 1.83; 5; 4; 6; 100; 8; 
1 ; 2; 2; 0.5; 64; 0; 4; 32; 5.165; 1.5; 1.17; 1.83; 5; 4; 6; 62.5; 5; 
2 ;2; 1; 0.5; 105; 0; 7; 72; 7; 1.83; 1.83; 1.83; 6; 6; 6; 100; 7; 
3 ; 90; 2; 0.5; 95; 0; 10; 41; 2; 1.5; 1.17; 1.83; 5; 4; 6; 100; 8; 
1 ; 2; 2; 0.5; 65; 0; 4; 32; 5.165; 1.5; 1.17; 1.83; 5; 4; 6; 62.5; 5; 
2 ;2; 1; 0.5; 97; 0; 5; 67; 7; 1.83; 1.83; 1.83; 6; 6; 6; 100; 7; 
3 ; 90; 2; 0.5; 88; 0; 8; 39; 2; 1.5; 1.17; 1.83; 5; 4; 6; 100; 8; 
1 ; 2; 2; 0.5; 159; 0; 2; 31; 5.165; 1.5; 1.17; 1.83; 5; 4; 6; 62.5; 5; 
1 ; 2; 2; 0.5; 60; 0; 3; 29; 5.165; 1.5; 1.17; 1.83; 5; 4; 6; 62.5; 5; 
1 ; 2; 2; 0.5; 66; 0; 4; 34; 5.165; 1.5; 1.17; 1.83; 5; 4; 6; 62.5; 5; 
1 ; 2; 2; 0.5; 63; 0; 2; 32; 5.165; 1.5; 1.17; 1.83; 5; 4; 6; 62.5; 5; 
1 ; 2; 2; 0.5; 69; 1; 2; 31; 5.165; 1.5; 1.17; 1.83; 5; 4; 6; 62.5; 5; 
2 ;2; 1; 0.5; 91; 1; 7; 55; 7; 1.83; 1.83; 1.83; 6; 6; 6; 87.5; 7; 
3 ; 90; 2; 0.5; 104; 4; 4; 48; 2; 1.5; 1.17; 1.83; 5; 4; 6; 100; 8; 
1 ; 2; 2; 0.5; 73; 1; 1; 40; 5.165; 1.5; 1.17; 1.83; 5; 4; 6; 62.5; 5; 
2 ;2; 1; 0.5; 103; 2; 3; 70; 7; 1.83; 1.83; 1.83; 6; 6; 6; 87.5; 7; 
3 ; 90; 2; 0.5; 82; 0; 3; 36; 2; 1.5; 1.17; 1.83; 5; 4; 6; 100; 8; 
1 ; 2; 2; 0.5; 151; 1; 91; 30; 5; 1.5; 1.17; 1.83; 5; 4; 6; 62.5; 5; 
2 ;2; 1; 0.5; 86; 0; 5; 50; 7; 1.83; 1.83; 1.83; 6; 6; 6; 87.5; 7; 
3 ; 90; 2; 0.5; 79; 0; 4; 34; 2; 1.5; 1.17; 1.83; 5; 4; 6; 100; 8; 
1 ; 2; 2; 0.5; 86; 2; 2; 53; 5.165; 1.5; 1.17; 1.83; 5; 4; 6; 62.5; 5; 
2 ;2; 1; 0.5; 126; 1; 7; 82; 7; 1.83; 1.83; 1.83; 6; 6; 6; 87.5; 7; 
3 ; 90; 2; 0.5; 129; 0; 4; 68; 2; 1.5; 1.17; 1.83; 5; 4; 6; 100; 8; 
